id,date,region,transportation_type,value
1,2020-01-13,Canada,driving,100.0
2,2020-01-14,Canada,driving,102.91
3,2020-01-15,Canada,driving,99.74
4,2020-01-16,Canada,driving,105.17
5,2020-01-17,Canada,driving,122.34
6,2020-01-18,Canada,driving,102.5
7,2020-01-19,Canada,driving,84.46
8,2020-01-20,Canada,driving,102.63
9,2020-01-21,Canada,driving,104.31
10,2020-01-22,Canada,driving,107.37
11,2020-01-23,Canada,driving,110.29
12,2020-01-24,Canada,driving,127.88
13,2020-01-25,Canada,driving,116.84
14,2020-01-26,Canada,driving,88.06
15,2020-01-27,Canada,driving,98.11
16,2020-01-28,Canada,driving,102.75
17,2020-01-29,Canada,driving,104.73
18,2020-01-30,Canada,driving,109.0
19,2020-01-31,Canada,driving,129.2
20,2020-02-01,Canada,driving,119.47
21,2020-02-02,Canada,driving,88.42
22,2020-02-03,Canada,driving,97.41
23,2020-02-04,Canada,driving,100.25
24,2020-02-05,Canada,driving,103.6
25,2020-02-06,Canada,driving,105.72
26,2020-02-07,Canada,driving,120.32
27,2020-02-08,Canada,driving,118.1
28,2020-02-09,Canada,driving,92.45
29,2020-02-10,Canada,driving,104.41
30,2020-02-11,Canada,driving,107.15
31,2020-02-12,Canada,driving,108.19
32,2020-02-13,Canada,driving,115.97
33,2020-02-14,Canada,driving,140.55
34,2020-02-15,Canada,driving,125.71
35,2020-02-16,Canada,driving,103.84
36,2020-02-17,Canada,driving,95.14
37,2020-02-18,Canada,driving,111.82
38,2020-02-19,Canada,driving,113.99
39,2020-02-20,Canada,driving,119.01
40,2020-02-21,Canada,driving,136.41
41,2020-02-22,Canada,driving,128.05
42,2020-02-23,Canada,driving,98.89
43,2020-02-24,Canada,driving,102.34
44,2020-02-25,Canada,driving,107.2
45,2020-02-26,Canada,driving,104.04
46,2020-02-27,Canada,driving,105.22
47,2020-02-28,Canada,driving,131.32
48,2020-02-29,Canada,driving,125.25
49,2020-03-01,Canada,driving,96.88
50,2020-03-02,Canada,driving,105.19
51,2020-03-03,Canada,driving,110.89
52,2020-03-04,Canada,driving,112.29
53,2020-03-05,Canada,driving,117.74
54,2020-03-06,Canada,driving,128.31
55,2020-03-07,Canada,driving,119.48
56,2020-03-08,Canada,driving,95.1
57,2020-03-09,Canada,driving,102.06
58,2020-03-10,Canada,driving,103.97
59,2020-03-11,Canada,driving,103.94
60,2020-03-12,Canada,driving,100.22
61,2020-03-13,Canada,driving,101.24
62,2020-03-14,Canada,driving,87.16
63,2020-03-15,Canada,driving,68.17
64,2020-03-16,Canada,driving,74.1
65,2020-03-17,Canada,driving,67.21
66,2020-03-18,Canada,driving,63.91
67,2020-03-19,Canada,driving,62.16
68,2020-03-20,Canada,driving,63.93
69,2020-03-21,Canada,driving,53.45
70,2020-03-22,Canada,driving,41.73
71,2020-03-23,Canada,driving,49.42
72,2020-03-24,Canada,driving,48.66
73,2020-03-25,Canada,driving,47.57
74,2020-03-26,Canada,driving,46.94
